Lunar Distribution Invoice

Invoice #581462
Account No: L110345
Invoice Date: 2/21/2025
Due Date: 3/5/2025
Payment Terms: Net 7 ACH
Payment by Paypal -please send to service@LunarDistribution.com

Invoiced To:
"Jago Goddard"
"Mega City One"
"7301 Melrose Ave"
"Los Angeles, CA 90046"
"US"

Invoice Products
Code,Title,Qty,Retail,Discount,Discounted Price,Total,UPC,PO Number,In-Store Date,Item Category
"1124DC223","BATMAN SUPERMAN WORLDS FINEST TP VOL 05 SECRET ORIGINS","2","17.99","55","8.0955","16.1910","9781799500339","","2/25/2025","3"
"1224DC157","BATMAN THE LONG HALLOWEEN THE LAST HALLOWEEN #5 (OF 10) CVR A TIM SALE","40","4.99","55","2.2455","89.8200","76194137589200511","","2/26/2025","1"
"1224DC158","BATMAN THE LONG HALLOWEEN THE LAST HALLOWEEN #5 (OF 10) CVR B BILL SIENKIEWICZ CARD STOCK VAR","5","4.99","55","2.2455","11.2275","76194137589200521","","2/26/2025","1"
"1224DC159","BATMAN THE LONG HALLOWEEN THE LAST HALLOWEEN #5 (OF 10) CVR C ROB LIEFELD CARD STOCK VAR","5","4.99","55","2.2455","11.2275","76194137589200531","","2/26/2025","1"
"1224DC094","BLACK CANARY BEST OF THE BEST #4 (OF 6) CVR A RYAN SOOK","20","4.99","55","2.2455","44.9100","76194137766700411","","2/26/2025","1"
"1224DC095","BLACK CANARY BEST OF THE BEST #4 (OF 6) CVR B RACHTA LIN CARD STOCK VAR","5","5.99","55","2.6955","13.4775","76194137766700421","","2/26/2025","1"
"1224DC096","BLACK CANARY BEST OF THE BEST #4 (OF 6) CVR C INC 1:25 KENDRICK KUNKKA LIM CARD STOCK VAR","1","5.99","55","2.6955","2.6955","76194137766700431","","2/26/2025","1"
"1224ON486","CALAVERA PI #4 (OF 4) CVR A MARCO FINNEGAN (MR)","4","4.99","50","2.4950","9.9800","64985600820600411","","2/26/2025","1"
"1224CS424","COMIC SHOP NEWS #1958 (BUNDLE OF 100) (NET)","1","18.99","","18.9900","18.9900","64924187776995812","","2/26/2025","2"
"1224DC220","DC CONNECT #58 OPT-IN BUNDLES OF 25 (FREE) (NET)","3","0.00","","0.0000","0.0000","76194137448205811","","2/26/2025","0"
"1124IM252","DEPARTMENT OF TRUTH #28 CVR A MARTIN SIMMONDS (MR)","25","3.99","58.5","1.6559","41.3975","70985303032402811","","2/26/2025","1"
"1124IM253","DEPARTMENT OF TRUTH #28 CVR B INC 1:10 NIMIT MALAVIA VAR (MR)","2","3.99","58.5","1.6559","3.3118","70985303032402821","","2/26/2025","1"
"1124IM254","DEPARTMENT OF TRUTH #28 CVR C INC 1:25 MALACHI WARD VAR (MR)","1","3.99","58.5","1.6559","1.6559","70985303032402831","","2/26/2025","1"
"1224DC077","DETECTIVE COMICS #1094 CVR A MIKEL JANIN","28","4.99","55","2.2455","62.8740","76194134373009411","","2/26/2025","1"
"1224DC078","DETECTIVE COMICS #1094 CVR B BRUNO REDONDO CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194134373009421","","2/26/2025","1"
"1224DC079","DETECTIVE COMICS #1094 CVR C ARIEL OLIVETTI CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194134373009431","","2/26/2025","1"
"1224DC080","DETECTIVE COMICS #1094 CVR D RYAN BENJAMIN BLACK HISTORY MONTH CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194134373009451","","2/26/2025","1"
"1224DC081","DETECTIVE COMICS #1094 CVR E DUSTIN NGUYEN HUSH CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194134373009461","","2/26/2025","1"
"1224DC082","DETECTIVE COMICS #1094 CVR F INC 1:25 JUAN FERREYRA CARD STOCK VAR","1","5.99","55","2.6955","2.6955","76194134373009441","","2/26/2025","1"
"1224PZ527","DISNEY CLASSIC GRAPHIC NOVEL 101 DALMATIANS HC","1","14.99","50","7.4950","7.4950","9781545815564","","2/26/2025","3"
"1224IM275","DUST TO DUST #3 (OF 8) CVR A JG JONES","15","3.99","58.5","1.6559","24.8385","70985304195500311","","2/26/2025","1"
"1224IM276","DUST TO DUST #3 (OF 8) CVR B INC 1:15 PAUL RENAUD VAR","1","3.99","58.5","1.6559","1.6559","70985304195500321","","2/26/2025","1"
"1224DC071","FLASH #18 CVR A MIKE DEL MUNDO","12","3.99","55","1.7955","21.5460","76194138164001811","","2/26/2025","1"
"1224DC072","FLASH #18 CVR B SAOWEE CARD STOCK VAR","2","4.99","55","2.2455","4.4910","76194138164001831","","2/26/2025","1"
"1224DC073","FLASH #18 CVR C STEPHEN SEGOVIA CARD STOCK VAR","2","4.99","55","2.2455","4.4910","76194138164001821","","2/26/2025","1"
"1224MA458","GATCHAMAN #7 CVR A INAKI MIRANDA","7","4.99","50","2.4950","17.4650","60194704601600711","","2/26/2025","1"
"1224MA459","GATCHAMAN #7 CVR B CHRIS BATISTA BLUEPRINT JOE AND G-2 VAR","3","4.99","50","2.4950","7.4850","60194704601600721","","2/26/2025","1"
"0124IM860","GI JOE 2024 #1 PROMO POSTER","1","0.00","58.5","0.0000","0.0000","709853040088","","5/1/2024","0"
"0124IM862","GI JOE 2024 #2 PROMO POSTER ","1","0.00","58.5","0.0000","0.0000","709853040156","","9/4/2024","0"
"1224IM285","GI JOE A REAL AMERICAN HERO #314 CVR A ANDY KUBERT & LAURA MARTIN","13","3.99","58.5","1.6559","21.5267","70985303878831411","","2/26/2025","1"
"1224IM286","GI JOE A REAL AMERICAN HERO #314 CVR B ANDY KUBERT B&W VAR","3","3.99","58.5","1.6559","4.9677","70985303878831421","","2/26/2025","1"
"1224IM287","GI JOE A REAL AMERICAN HERO #314 CVR C INC 1:10 FRANCIS PORTELA CAMOUFLAGE VAR","1","3.99","58.5","1.6559","1.6559","70985303878831431","","2/26/2025","1"
"1224DC069","GREEN ARROW #21 CVR A TAURIN CLARKE","12","3.99","55","1.7955","21.5460","76194138013102111","","2/26/2025","1"
"1224DC070","GREEN ARROW #21 CVR B MARC ASPINALL CARD STOCK VAR","4","4.99","55","2.2455","8.9820","76194138013102121","","2/26/2025","1"
"1224DC065","GREEN LANTERN #20 CVR A ARIEL COLON","27","4.99","55","2.2455","60.6285","76194138023002011","","2/26/2025","1"
"1224DC066","GREEN LANTERN #20 CVR B STEPHEN SEGOVIA CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194138023002021","","2/26/2025","1"
"1224DC067","GREEN LANTERN #20 CVR C FERNANDO BLANCO CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194138023002031","","2/26/2025","1"
"1224DC068","GREEN LANTERN #20 CVR D INC 1:25 MICHAEL ALLRED CARD STOCK VAR","1","5.99","55","2.6955","2.6955","76194138023002041","","2/26/2025","1"
"1124DC204","GREEN LANTERN (2023) TP VOL 02 LOVE AND WAR","2","19.99","55","8.9955","17.9910","9781799500506","","2/25/2025","3"
"1224DC170","GREEN LANTERN DARK #3 (OF 7) CVR A WERTHER DELL EDERA","14","4.99","55","2.2455","31.4370","76194138131200311","","2/26/2025","1"
"1224DC171","GREEN LANTERN DARK #3 (OF 7) CVR B DAVID NAKAYAMA CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194138131200321","","2/26/2025","1"
"1224DC172","GREEN LANTERN DARK #3 (OF 7) CVR C TRAN NGUYEN CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194138131200331","","2/26/2025","1"
"1124IM277","HACK SLASH DELUXE EDITION HC VOL 05 (MR)","1","49.99","58.5","20.7459","20.7459","9781534358034","","2/26/2025","3"
"1224DC103","HARLEY QUINN #48 CVR A ELIZABETH TORQUE","4","3.99","55","1.7955","7.1820","76194137281504811","","2/26/2025","1"
"1224DC104","HARLEY QUINN #48 CVR B DAVID NAKAYAMA CARD STOCK VAR","2","4.99","55","2.2455","4.4910","76194137281504821","","2/26/2025","1"
"1224DC105","HARLEY QUINN #48 CVR C JORGE FORNES CARD STOCK VAR","2","4.99","55","2.2455","4.4910","76194137281504831","","2/26/2025","1"
"1224DC106","HARLEY QUINN #48 CVR D GLEB MELNIKOV HUSH CARD STOCK VAR","2","4.99","55","2.2455","4.4910","76194137281504851","","2/26/2025","1"
"1224IM293","HORNSBY & HALO #4 CVR A PETER SNEJBJERG & JOHN KALISZ","8","3.99","58.5","1.6559","13.2472","70985304166500411","","2/26/2025","1"
"1224IM294","HORNSBY & HALO #4 CVR B IVAN REIS & DANNY MIKI VAR","2","3.99","58.5","1.6559","3.3118","70985304166500421","","2/26/2025","1"
"1224IM295","HORNSBY & HALO #4 CVR C KYLE HOTZ & DAN BROWN VAR","2","3.99","58.5","1.6559","3.3118","70985304166500431","","2/26/2025","1"
"1124IM855","I WAS A FASHION SCHOOL SERIAL KILLER & GOLDEN RAGE MOTHER KNOWS BEST DOUBLE SIDED PROMO POSTER","1","0.00","58.5","0.0000","0.0000","709853043218","","2/26/2025","0"
"1224IM401","IMAGE SCENE #5 MAY 2025 CATALOG (BUNDLE OF 20) (NET)","1","5.00","","5.0000","5.0000","70985304243300521","","2/26/2025","1"
"1224IM402","IMAGE SCENE #5 MAY 2025 CATALOG (SINGLE COPIES)","1","0.00","","0.0000","0.0000","70985304243300511","","2/26/2025","1"
"0613IM155","INVINCIBLE COMPENDIUM TP VOL 02","1","64.99","73.5","17.2224","17.2224","9781607067726","","8/15/2013","3"
"1124IM845","INVINCIBLE LINEUP PROMO SHELF TALKER","1","0.00","","0.0000","0.0000","709853043010","","2/26/2025","0"
"1124IM844","INVINCIBLE UNIVERSE BATTLE BEAST & INVINCIBLE NEW EDITIONS DOUBLE SIDED PROMO POSTER","1","0.00","","0.0000","0.0000","709853043003","","2/26/2025","0"
"1024DC268","JOHN CONSTANTINE HELLBLAZER DEAD IN AMERICA HC (MR)","2","39.99","55","17.9955","35.9910","9781799500438","","2/25/2025","3"
"1124DC218","JUSTICE LEAGUE INTERNATIONAL TP BOOK 01 BORN AGAIN (2025 EDITION)","1","39.99","55","17.9955","17.9955","9781799500568","","2/25/2025","3"
"1224DC001","JUSTICE LEAGUE UNLIMITED #4 CVR A DAN MORA","59","3.99","55","1.7955","105.9345","76194138573000411","","2/26/2025","1"
"1224DC002","JUSTICE LEAGUE UNLIMITED #4 CVR B CHRISTIAN WARD CARD STOCK VAR","4","4.99","55","2.2455","8.9820","76194138573000421","","2/26/2025","1"
"1224DC003","JUSTICE LEAGUE UNLIMITED #4 CVR C LUCIO PARRILLO CARD STOCK VAR","4","4.99","55","2.2455","8.9820","76194138573000431","","2/26/2025","1"
"1224DC004","JUSTICE LEAGUE UNLIMITED #4 CVR D SALVADOR LARROCA CARD STOCK VAR","4","4.99","55","2.2455","8.9820","76194138573000441","","2/26/2025","1"
"1224DC005","JUSTICE LEAGUE UNLIMITED #4 CVR E RYAN BENJAMIN BLACK HISTORY MONTH CARD STOCK VAR","4","4.99","55","2.2455","8.9820","76194138573000471","","2/26/2025","1"
"1224DC006","JUSTICE LEAGUE UNLIMITED #4 CVR F INC 1:25 FICO OSSIO WRAPAROUND CARD STOCK VAR","3","4.99","55","2.2455","6.7365","76194138573000451","","2/26/2025","1"
"1224DC007","JUSTICE LEAGUE UNLIMITED #4 CVR G INC 1:50 GAVIN GUIDRY CARD STOCK VAR","1","4.99","55","2.2455","2.2455","76194138573000461","","2/26/2025","1"
"1224MA466","KILL TRAIN #2 (OF 5)","2","4.99","50","2.4950","4.9900","60196140459500211","","2/26/2025","1"
"1224DC180","LITTLE BATMAN MONTH ONE #4 (OF 4)","7","4.99","55","2.2455","15.7185","76194138627000411","","2/26/2025","1"
"1224MA467","LONG COLD WINTER #3 (OF 4)","3","4.99","50","2.4950","7.4850","60196140457100311","","2/26/2025","1"
"1224DC139","METAMORPHO THE ELEMENT MAN #3 CVR A STEVE LIEBER","11","3.99","55","1.7955","19.7505","76194138620100311","","2/26/2025","1"
"1224DC140","METAMORPHO THE ELEMENT MAN #3 CVR B DERRICK CHEW CARD STOCK VAR","3","4.99","55","2.2455","6.7365","76194138620100321","","2/26/2025","1"
"1224IM237","MONSTRESS #55 (MR)","10","3.99","58.5","1.6559","16.5590","70985302020205511","","2/26/2025","1"
"1124IM856","MOONSHINE BIGFOOT & LOST FANTASY DOUBLE SIDED PROMO POSTER","1","0.00","58.5","0.0000","0.0000","709853043225","","2/26/2025","0"
"1224MA470","MURDER KINGDOM #4 (OF 5)","3","4.99","50","2.4950","7.4850","60194704589700411","","2/26/2025","1"
"1224IM238","NIGHTS #13 (MR)","5","3.99","58.5","1.6559","8.2795","70985303858001311","","2/26/2025","1"
"1224ON823","ONI PRESS 2025 CATALOG PROMO","1","0.00","","0.0000","0.0000","649856008350","","2/26/2025","1"
"1124DC215","PENGUIN TP VOL 02 ALL BAD THINGS","2","19.99","55","8.9955","17.9910","9781799500520","","2/25/2025","3"
"1224MA471","POP KILL #1 (OF 4) CVR A DAVE JOHNSON (MR)","6","6.99","50","3.4950","20.9700","60196140463200111","","2/26/2025","1"
"1224MA472","POP KILL #1 (OF 4) CVR B DAN PANOSIAN VAR (MR)","4","6.99","50","3.4950","13.9800","60196140463200121","","2/26/2025","1"
"1224MA473","POP KILL #1 (OF 4) CVR C INC 1:10 AMANDA CONNER VAR (MR)","1","6.99","50","3.4950","3.4950","60196140463200131","","2/26/2025","1"
"1224MA474","POP KILL #1 (OF 4) CVR D BRIAN STELFREEZE EXPLICIT VAR (MR)","1","9.99","50","4.9950","4.9950","60196140463200141","","2/26/2025","1"
"1224DC144","POWER GIRL #18 CVR A YANICK PAQUETTE","11","3.99","55","1.7955","19.7505","76194138173201811","","2/26/2025","1"
"1224DC145","POWER GIRL #18 CVR B ELIZABETH TORQUE CARD STOCK VAR","2","4.99","55","2.2455","4.4910","76194138173201821","","2/26/2025","1"
"1124DC220","POWER GIRL (2023) TP VOL 02 MORE THAN A CRUSH","1","19.99","55","8.9955","8.9955","9781799500513","","2/25/2025","3"
"1224ON510","POWER LORDS #2 (OF 3) CVR A DUSTIN WEAVER","6","4.99","50","2.4950","14.9700","64985600826800211","","2/26/2025","1"
"1224ON511","POWER LORDS #2 (OF 3) CVR B SALVADOR LAROCCA VAR","1","4.99","50","2.4950","2.4950","64985600826800221","","2/26/2025","1"
"1224ON512","POWER LORDS #2 (OF 3) CVR C FRANCIS PORTELA VAR","1","4.99","50","2.4950","2.4950","64985600826800231","","2/26/2025","1"
"1023IM809","PROMO POSTER DUKE COBRA COMMANDER","1","0.00","58.5","0.0000","0.0000","709853039266","","12/27/2023","0"
"1224IM840","RADIANT BLACK #31 25% OVERSHIP","6","0.00","100","0.0000","0.0000","70985303068303111","","2/26/2025","1"
"1224IM242","RADIANT BLACK #31 CVR A EDUARDO FERIGATO","15","3.99","58.5","1.6559","24.8385","70985303068303111","","2/26/2025","1"
"1224IM243","RADIANT BLACK #31 CVR B RICCARDO ROBALDO CONNECTING VAR","10","3.99","58.5","1.6559","16.5590","70985303068303121","","2/26/2025","1"
"1224IM244","RADIANT BLACK #31 CVR C INC 1:25 MARCELLO COSTA FOIL VAR","1","3.99","58.5","1.6559","1.6559","70985303068303131","","2/26/2025","1"
"1224TM836","RETROFAN MAGAZINE #37","2","10.95","40","6.5700","13.1400","182658005511","","2/26/2025","1"
"1224IM334","SEASONS #2 CVR A PAUL AZACETA","25","3.99","58.5","1.6559","41.3975","70985304231000211","","2/26/2025","1"
"1224IM335","SEASONS #2 CVR B INC 1:25 RAMON K PEREZ VAR","1","3.99","58.5","1.6559","1.6559","70985304231000221","","2/26/2025","1"
"1224SP822","SILVER SPROCKET CATALOG SPRING 2025 PROMO","1","0.00","50","0.0000","0.0000","725272730706","","2/26/2025","0"
"1224IM339","SNOTGIRL #18 CVR B BRYAN LEE OMALLEY VAR","1","3.99","58.5","1.6559","1.6559","70985302200801821","","2/5/2025","1"
"1124IM369","SPAWN SCORCHED #38 CVR A KEVIN KEANE","15","2.99","58.5","1.2409","18.6135","70985303270003811","","2/26/2025","1"
"1124IM370","SPAWN SCORCHED #38 CVR B VON RANDAL VAR","7","2.99","58.5","1.2409","8.6863","70985303270003821","","2/26/2025","1"
"1224DC013","SUPERMAN #23 CVR A DAN MORA","30","4.99","55","2.2455","67.3650","76194137950002311","","2/26/2025","1"
"1224DC014","SUPERMAN #23 CVR B NATHAN SZERDY CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194137950002331","","2/26/2025","1"
"1224DC015","SUPERMAN #23 CVR C DAN PANOSIAN CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194137950002351","","2/26/2025","1"
"1224DC016","SUPERMAN #23 CVR D GUILLEM MARCH CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194137950002321","","2/26/2025","1"
"1224DC017","SUPERMAN #23 CVR E KAARE ANDREWS HUSH CARD STOCK VAR","3","5.99","55","2.6955","8.0865","76194137950002361","","2/26/2025","1"
"1224DC018","SUPERMAN #23 CVR F INC 1:25 DAVE JOHNSON CARD STOCK VAR","1","5.99","55","2.6955","2.6955","76194137950002341","","2/26/2025","1"
"1124DC217","TITANS (2023) TP VOL 02 THE DARK-WINGED QUEEN","2","19.99","55","8.9955","17.9910","9781799500537","","2/25/2025","3"
"1224AH411","TOXIC AVENGER #5 (OF 5) CVR A FRED HARPER (MR)","6","3.99","50","1.9950","11.9700","85647000837000511","","2/26/2025","1"
"1224AH412","TOXIC AVENGER #5 (OF 5) CVR B 3 COPY MATT BORS UNLOCK VAR (MR)","2","3.99","50","1.9950","3.9900","85647000837000521","","2/26/2025","1"
"1224AH413","TOXIC AVENGER #5 (OF 5) CVR C 5 COPY ZANDER CANNON UNLOCK VAR (MR)","1","3.99","50","1.9950","1.9950","85647000837000531","","2/26/2025","1"
"1224AH414","TOXIC AVENGER #5 (OF 5) CVR D FRED HARPER EXCLUSIVE TRADING CARD VAR (MR)","2","4.99","50","2.4950","4.9900","85647000837000541","","2/26/2025","1"
"0924IM325","TRANSFORMERS TP VOL 02 DANIEL WARREN JOHNSON & MIKE SPICER BOOK MARKET CVR","1","16.99","58.5","7.0509","7.0509","9781534345270","","11/13/2024","3"
"0619DC169","WATCHMEN TP NEW EDITION","1","24.99","55","11.2455","11.2455","9781779501127","","8/28/2019","3"
"0217IM194","WE STAND ON GUARD TP (MR)","3","14.99","58.5","6.2209","18.6627","9781534301412","","4/5/2017","3"
,,,,,Total,"$1,957.15"
Shipping Charges
Shipment, Tracking, Date, Weight,,, Cost
"UPS - UPS Ground","'1ZR930680392496225","2/14/2025","51.85 lbs.",,,"128.81"
"UPS - UPS Ground","'1ZR930680392074636","2/14/2025","53.55 lbs.",,,"0.00"
"UPS - UPS Ground","'1ZR930680394563443","2/14/2025","32.45 lbs.",,,"0.00"
"UPS - UPS Ground","'1ZR930680390938653","2/14/2025","40.90 lbs.",,,"0.00"
"UPS - UPS Ground","'1ZR930680392616265","2/14/2025","7.95 lbs.",,,"0.00"
,,,,,Total,"$128.81"

,,,,,"Pay this amount:","$2,085.96"

Remit Payment To:
Lunar Distribution
10701 Rose Ave
"New Haven, IN 46774"
United States
